family	p_crown	p_preceding	crown	preceding	fate
helY	1	1	present	present	retained
hemA	1	1	present	present	retained
hemB	1	1	present	present	retained
hemC	1	1	present	present	retained
hemD	1	1	present	present	retained
hemE	1	1	present	present	retained
hemG	1	1	present	present	retained
hemH	1	1	present	present	retained
hemL	1	1	present	present	retained
hemN	1	1	present	present	retained
hepT	1	1	present	present	retained
hflK	1	1	present	present	polymorphic
hflX	1	1	present	present	retained
hisA	1	1	present	present	retained
hisB	1	1	present	present	retained
hisC	1	1	present	present	retained
hisD	1	1	present	present	retained
hisE	1	1	present	present	retained
hisF	1	1	present	present	retained
hisG	1	1	present	present	retained
hisH	1	1	present	present	retained
hisI	1	1	present	present	retained
hisN	1	1	present	present	retained
hisS	1	1	present	present	retained
hit	0.5103	0.5117	unresolved	unresolved	retained
hlyI	0.9999	1	present	present	retained
hmp	0.9491	0.9988	unresolved	present	polymorphic
holA	1	1	present	present	retained
holB	1	1	present	present	retained
hom	1	1	present	present	retained
hpf	1	1	present	present	retained
hpt	0.9999	0.9994	present	present	retained
hrcA	1	1	present	present	retained
hsaA	1	1	present	present	retained
hsaB	1	1	present	present	retained
hsaC	1	1	present	present	retained
hsd4A	1	1	present	present	retained
hsd4B	0.5	0.5	unresolved	unresolved	retained
hspR	1	1	present	present	retained
htpX	1	1	present	present	retained
htrA	1	1	present	present	retained
htrB	1	1	present	present	retained
hup	0.9908	0.999	present	present	polymorphic
icaR	0.9963	0.9999	present	present	polymorphic
icd	1	1	present	present	retained
ideR	0.5	0.5	unresolved	unresolved	retained
ileS	1	1	present	present	retained
ilvA	1	1	present	present	retained
ilvB	1	1	present	present	retained
ilvC	1	1	present	present	retained
ilvD	1	1	present	present	retained
ilvE	1	1	present	present	retained
ilvN	1	1	present	present	retained
ilvX	0.9992	0.9991	present	present	retained
infA	1	1	present	present	retained
infB	1	1	present	present	retained
infC	1	1	present	present	retained
inhA	1	1	present	present	retained
ino1	1	1	present	present	retained
iscA	1	1	present	present	retained
iscS	1	1	present	present	retained
iscU	0.9999	1	present	present	polymorphic
ispD	1	1	present	present	retained
ispE	1	1	present	present	retained
ispF	1	1	present	present	retained
ispG	1	1	present	present	retained
ispH	1	1	present	present	retained
iunH	0.7951	0.99	unresolved	present	polymorphic
jag	1	1	present	present	retained
kch	0.9998	0.9998	present	present	retained
kdpD	0.0689	0.9431	unresolved	unresolved	lost_cladewide
kgd	1	1	present	present	retained
kipI	1	1	present	present	retained
korA	1	1	present	present	polymorphic
korB	1	1	present	present	polymorphic
ksgA	1	1	present	present	retained
kstD	0.9999	0.9999	present	present	retained
kstR	1	1	present	present	retained
kstR2	0.9999	0.9999	present	present	retained
ku	0.9999	0.9999	present	present	retained
lepA	1	1	present	present	retained
lepB	1	1	present	present	retained
leuA	1	1	present	present	retained
leuB	0.5	0.5	unresolved	unresolved	polymorphic
leuC	1	1	present	present	retained
leuD	1	1	present	present	retained
leuS	1	1	present	present	retained
lexA	1	0.9999	present	present	retained
lgt	0.9999	0.9999	present	present	retained
lhr	1	1	present	present	retained
ligA	1	1	present	present	retained
ligC	0.9947	0.9966	present	present	polymorphic
ligD	1	1	present	present	retained
limB	0.058	0.8718	unresolved	unresolved	lost_cladewide
limB_5	0.0388	0.9719	absent	present	lost_cladewide
lin	0.0379	0.4012	absent	unresolved	lost_cladewide
lipA	1	1	present	present	retained
lipB	1	1	present	present	retained
lipE	1	1	present	present	retained
lipG	0.5	0.5	unresolved	unresolved	polymorphic
lipI	1	1	present	present	polymorphic
lipL	1	0.9998	present	present	retained
lipN	0.9999	1	present	present	retained
lipT	1	1	present	present	retained
lipU	1	1	present	present	retained
lipV	1	1	present	present	retained
lipW	0.9948	0.9997	present	present	polymorphic
lldD1_1	0.9999	0.9999	present	present	retained
lnt	1	1	present	present	retained
lon	0.5	0.5001	unresolved	unresolved	polymorphic
lpd	1	1	present	present	retained
lpdA	1	1	present	present	polymorphic
lppI	1	1	present	present	retained
lppK	0.9996	0.9997	present	present	polymorphic
lppL	1	1	present	present	retained
lppM	1	1	present	present	retained
lppS	1	1	present	present	retained
lppW	1	1	present	present	retained
lppZ	1	1	present	present	retained
lpqB	1	1	present	present	retained
lpqE	1	1	present	present	retained
lpqF	1	1	present	present	retained
lpqG	1	1	present	present	retained
lpqH	0.5	0.5	unresolved	unresolved	polymorphic
lpqI	1	1	present	present	retained
lpqJ	0.5	0.5	unresolved	unresolved	polymorphic
lpqL	1	1	present	present	retained
lpqM	1	1	present	present	retained
lpqR	0.9999	0.9999	present	present	retained
lpqT	1	1	present	present	retained
lpqU	1	1	present	present	retained
lpqW	1	1	present	present	retained
lpqY	1	1	present	present	retained
lpqZ	1	1	present	present	retained
lprB	1	1	present	present	retained
lprC	1	1	present	present	retained
lprD	0.9983	0.9983	present	present	polymorphic
lprE	0.9999	0.9999	present	present	retained
lprG	1	1	present	present	retained
lprN	4e-04	0.0122	absent	absent	lost_cladewide
lprO	0.9999	0.9999	present	present	retained
lprQ	0.0393	0.9714	absent	present	lost_cladewide
lspA	1	1	present	present	retained
lsr2	0.9999	0.9999	present	present	retained
ltbR	0.997	0.9999	present	present	retained
ltp2	0.9999	0.9999	present	present	retained
ltp3	0.9997	0.9998	present	present	retained
ltp4	0.9997	0.9997	present	present	polymorphic
LYS1	1	1	present	present	retained
lysA	1	1	present	present	retained
lysS	1	1	present	present	retained
lysX	1	1	present	present	retained
lytR2	1	1	present	present	retained
maeB	0.9997	0.9997	present	present	retained
maf	1	1	present	present	retained
mak	0.994	0.9996	present	present	polymorphic
malQ	1	1	present	present	retained
manA	1	1	present	present	retained
manB	1	1	present	present	retained
manC	1	1	present	present	retained
map	1	1	present	present	retained
mapA	0.9999	0.9999	present	present	retained
mazG	1	1	present	present	retained
mca	1	1	present	present	retained
mce	1	1	present	present	retained
mce1A	0.4401	0.6037	unresolved	unresolved	polymorphic
mce1B	1	1	present	present	retained
mce1C	0.0559	0.6729	unresolved	unresolved	polymorphic
mce1F	0.9998	0.9996	present	present	retained
mce2D	0.9999	0.9998	present	present	retained
mce4A	8e-04	0.0182	absent	absent	lost_cladewide
mce4B	8e-04	0.0182	absent	absent	lost_cladewide
mce4C	0.001	0.0219	absent	absent	lost_cladewide
mce4D	5e-04	0.0148	absent	absent	lost_cladewide
mce4F	4e-04	0.0124	absent	absent	lost_cladewide
mctB	1	1	present	present	polymorphic
menA	0.9999	0.9999	present	present	retained
menB	1	1	present	present	retained
menC	1	1	present	present	retained
menD	1	1	present	present	retained
menE	1	1	present	present	retained
menG	1	1	present	present	retained
menJ	1	1	present	present	retained
mepA	1	1	present	present	retained
mer	0.5005	0.5014	unresolved	unresolved	retained
merR1	1	1	present	present	retained
merR2	1	1	present	present	retained
metB	1	1	present	present	retained
metG	1	1	present	present	retained
metH	1	1	present	present	retained
metK	1	1	present	present	retained
metXA	1	1	present	present	retained
metY	1	1	present	present	retained
mfd	1	1	present	present	retained
mftE	0.5001	0.5004	unresolved	unresolved	retained
mftR	0.9998	0.9999	present	present	retained
mgtA	0.9987	0.9994	present	present	polymorphic
mgtE	1	1	present	present	retained
mhpD	0.9999	1	present	present	retained
mhpF	0.9998	0.9998	present	present	retained
mhuD	1	1	present	present	retained
miaA	1	1	present	present	retained
miaB	1	1	present	present	retained
mihF	1	1	present	present	retained
mkl	0.9999	0.9999	present	present	retained
