family	ER_prob_present_at_crown	ARD_prob_present_at_crown	ARD_informative	ER_class	ARD_class	classes_agree	both_confident	opposite_confident_calls	in_clade_wide_lost_set
cstA	0.999307362966649	0.555360617860057	True	present	unresolved	False	False	False	False
ctaA	0.999921447976821	0.5	False	present	unresolved	False	False	False	False
ctaB	0.999980237526926	0.5	False	present	unresolved	False	False	False	False
ctaC	0.999993709833268	0.5	False	present	unresolved	False	False	False	False
ctaD	0.999999609801225	0.500001076539502	False	present	unresolved	False	False	False	False
ctaE	0.999999632709054	0.5	False	present	unresolved	False	False	False	False
ctaF	0.999836653202124	0.5	False	present	unresolved	False	False	False	False
ctc	0.999998733921898	0.5	False	present	unresolved	False	False	False	False
ctpE	0.999988282280822	0.525873787295422	True	present	unresolved	False	False	False	False
cut2	0.999935805459046	0.517860847423166	True	present	unresolved	False	False	False	False
cvpA	0.999999339611587	0.5	False	present	unresolved	False	False	False	False
cwlM	0.999999686063757	0.5	False	present	unresolved	False	False	False	False
cwsA	0.0425352150180144	0.613301419601573	True	absent	unresolved	False	False	False	True
cya	1	1	True	present	present	True	True	False	False
cydA	0.0341021897022402	0.034806462406417	True	absent	absent	True	True	False	True
cydB	0.0445280380055113	0.0684203054356347	True	absent	unresolved	False	False	False	True
cydC	0.0390365726700693	0.0531608864019521	True	absent	unresolved	False	False	False	True
cydD	0.0390365726700693	0.0531608864019521	True	absent	unresolved	False	False	False	True
cynT	0.999982778266756	0.5	False	present	unresolved	False	False	False	False
cyp123A3	0.999968151319339	0.5	False	present	unresolved	False	False	False	False
cyp124A1	0.5	0.5	False	unresolved	unresolved	True	False	False	False
cyp126A3	0.704293985921579	0.779246618143837	True	unresolved	unresolved	True	False	False	False
cyp130	0.999983336545574	0.5	False	present	unresolved	False	False	False	False
cyp138	0.999466924151373	0.5	False	present	unresolved	False	False	False	False
cyp140	0.99990233371541	0.501467750638178	True	present	unresolved	False	False	False	False
cyp142A3	0.500573400052445	0.5	False	unresolved	unresolved	True	False	False	False
cyp51	0.999993825858782	0.498915674884774	True	present	unresolved	False	False	False	False
cysA	0.999980799220201	0.5	False	present	unresolved	False	False	False	False
cysA2	0.827255221529386	0.691163645379578	True	unresolved	unresolved	True	False	False	False
cysD	0.999938761745819	0.5	False	present	unresolved	False	False	False	False
cysG	0.999995149822473	0.5	False	present	unresolved	False	False	False	False
cysH	0.999929730514144	0.5	False	present	unresolved	False	False	False	False
cysK	0.999994993131754	0.5	False	present	unresolved	False	False	False	False
cysN	0.999972913094139	0.500000000000087	False	present	unresolved	False	False	False	False
cysQ	0.999993630678833	0.5	False	present	unresolved	False	False	False	False
cysQ_1	0.999938997685086	0.501274123628075	True	present	unresolved	False	False	False	False
cysS	0.999997958852007	0.5	False	present	unresolved	False	False	False	False
czcD	0.999988273880603	0.500000380446528	False	present	unresolved	False	False	False	False
dac	0.999999619680342	0.500002655477587	False	present	unresolved	False	False	False	False
dacB	0.99999963270906	0.5	False	present	unresolved	False	False	False	False
dacC	0.999999958819607	0.5	False	present	unresolved	False	False	False	False
dagK	0.999976281847864	0.500000000013152	False	present	unresolved	False	False	False	False
dak3	0.998366024991019	0.5	False	present	unresolved	False	False	False	False
dapA	0.999984239792188	0.5	False	present	unresolved	False	False	False	False
dapB	0.500000000788676	0.5	False	unresolved	unresolved	True	False	False	False
dapB_2	0.999903245211044	0.999803019988041	True	present	present	True	True	False	False
dapC	1	1	True	present	present	True	True	False	False
dapD	0.999999640337058	0.50000000161589	False	present	unresolved	False	False	False	False
dapE	0.999999957404288	0.500130143222126	False	present	unresolved	False	False	False	False
dapE2	0.999957170925562	0.5	False	present	unresolved	False	False	False	False
dapF	0.999999659355426	0.5	False	present	unresolved	False	False	False	False
dcd	0.500000000069282	0.5	False	unresolved	unresolved	True	False	False	False
dcsG	0.999631096866823	0.500000000000001	False	present	unresolved	False	False	False	False
ddl	0.999998554751006	0.5	False	present	unresolved	False	False	False	False
ddn	0.999923985704367	0.500000000000008	False	present	unresolved	False	False	False	False
deaD	0.999983269107105	0.5	False	present	unresolved	False	False	False	False
def	0.999999958816029	0.5	False	present	unresolved	False	False	False	False
deoA	0.0318098215585	0.98863549265686	True	absent	present	False	True	True	True
deoC	0.999659930481878	0.5	False	present	unresolved	False	False	False	False
der	0.99999969305729	0.5	False	present	unresolved	False	False	False	False
desA2	0.999998770187279	0.5	False	present	unresolved	False	False	False	False
desA3	0.999999641978716	0.499998904861591	False	present	unresolved	False	False	False	False
desA3_2	0.0593077110321613	0.0054517062534641	True	unresolved	absent	False	False	False	False
devR	0.999847595067427	0.500305039125779	False	present	unresolved	False	False	False	False
dgt	0.999999685978942	0.5	False	present	unresolved	False	False	False	False
dinB	0.999988654513538	0.5	False	present	unresolved	False	False	False	False
dinB_2	0.999996825658723	0.5	False	present	unresolved	False	False	False	False
dinG	0.999998894588892	0.5	False	present	unresolved	False	False	False	False
disA	0.11279426621602	0.0297443396609306	True	unresolved	absent	False	False	False	True
divIC	0.999917154306508	0.5	False	present	unresolved	False	False	False	False
dkgA	0.999989795762448	0.500061022499628	False	present	unresolved	False	False	False	False
dmpA	0.99997031854354	0.500000000000156	False	present	unresolved	False	False	False	False
dnaA	0.999999626311074	0.500973878923345	True	present	unresolved	False	False	False	False
dnaB	0.99994815060627	0.5	False	present	unresolved	False	False	False	False
dnaE	0.99999963270906	0.5	False	present	unresolved	False	False	False	False
dnaE2	0.999999957404288	0.500130143222126	False	present	unresolved	False	False	False	False
dnaG	0.999999974881815	0.5	False	present	unresolved	False	False	False	False
dnaJ	1	1	True	present	present	True	True	False	False
